timestamp,latitude,longitude
137938,43.513947,-79.946655
137939,43.51413,-79.946365
137940,43.514309,-79.946075
137941,43.514488,-79.945778
137942,43.514668,-79.94548
137943,43.514847,-79.945183
137944,43.515034,-79.944878
137945,43.515209,-79.944588
137946,43.515392,-79.94429
137947,43.515568,-79.943993
137948,43.515755,-79.943687
137949,43.51593,-79.943398
137950,43.516121,-79.943108
137951,43.516304,-79.942802
137952,43.516487,-79.942497
137953,43.516682,-79.942192
137954,43.516865,-79.941887
137955,43.517052,-79.941582
137956,43.517242,-79.941269
137957,43.517441,-79.940964
137958,43.517632,-79.940651
137959,43.517822,-79.940338
137960,43.518017,-79.940018
137961,43.518208,-79.93972
137962,43.518402,-79.9394
137963,43.5186,-79.939087
137964,43.518791,-79.938774
137965,43.51899,-79.938461
137966,43.519188,-79.938141
137967,43.51939,-79.93782
137968,43.519592,-79.937492
137969,43.519791,-79.937164
137970,43.519989,-79.936852
137971,43.520184,-79.936531
137972,43.520386,-79.936211
137973,43.520584,-79.935883
137974,43.520786,-79.935562
137975,43.520992,-79.935226
137976,43.521198,-79.934891
137977,43.5214,-79.93457
137978,43.521603,-79.934242
137979,43.521805,-79.933922
137980,43.522003,-79.933601
137981,43.522202,-79.933289
137982,43.5224,-79.932968
137983,43.522591,-79.932648
137984,43.522785,-79.93232
137985,43.522968,-79.931992
137986,43.523148,-79.931648
137987,43.523315,-79.931297
137988,43.523476,-79.930954
137989,43.523624,-79.930595
137990,43.523762,-79.930229
137991,43.523888,-79.929855
137992,43.524006,-79.929482
137993,43.524109,-79.929108
137994,43.5242,-79.928719
137995,43.524281,-79.928322
137996,43.524361,-79.927917
137997,43.524422,-79.927513
137998,43.524479,-79.927101
137999,43.524529,-79.926689
138000,43.52457,-79.926262
138001,43.524624,-79.92585
138002,43.52467,-79.92543
138003,43.524715,-79.925003
138004,43.524765,-79.924576
138005,43.524818,-79.924156
138006,43.524868,-79.923729
138007,43.524921,-79.923294
138008,43.524967,-79.922882
138009,43.525017,-79.922447
138010,43.525066,-79.922012
138011,43.525116,-79.921585
138012,43.525166,-79.92115
138013,43.525208,-79.920723
138014,43.525265,-79.920288
138015,43.525314,-79.919853
138016,43.525364,-79.919426
138017,43.525414,-79.918991
138018,43.525463,-79.918556
138019,43.525513,-79.918121
138020,43.525562,-79.917686
138021,43.525612,-79.917252
138022,43.525665,-79.916817
138023,43.525711,-79.916374
138024,43.525761,-79.915939
138025,43.525806,-79.915512
138026,43.525856,-79.91507
138027,43.525913,-79.914642
138028,43.525959,-79.914207
138029,43.526012,-79.913773
138030,43.52607,-79.913353
138031,43.526119,-79.912918
138032,43.526169,-79.912483
138033,43.526218,-79.912048
138034,43.526268,-79.911613
138035,43.526321,-79.911194
138036,43.526367,-79.910767
138037,43.526417,-79.910347
138038,43.526478,-79.909927
138039,43.526539,-79.909515
138040,43.526611,-79.909096
138041,43.526691,-79.908691
138042,43.526791,-79.908279
138043,43.526913,-79.907883
138044,43.527039,-79.907486
138045,43.527176,-79.907097
138046,43.527328,-79.906723
138047,43.527489,-79.906342
138048,43.527649,-79.905975
138049,43.527817,-79.905609
138050,43.527985,-79.905243
138051,43.528152,-79.904877
138052,43.52832,-79.904503
138053,43.528488,-79.904137
138054,43.528656,-79.90377
138055,43.528828,-79.903404
138056,43.528996,-79.903046
138057,43.529156,-79.902702
138058,43.529316,-79.902351
138059,43.529472,-79.902008
138060,43.529629,-79.901665
138061,43.529785,-79.901321
138062,43.529942,-79.90097
138063,43.530094,-79.900635
138064,43.530254,-79.900291
138065,43.530407,-79.899956
138066,43.530563,-79.899605
138067,43.53072,-79.899269
138068,43.530876,-79.898926
138069,43.531029,-79.898582
138070,43.531185,-79.898247
138071,43.531342,-79.897919
138072,43.53149,-79.897583
138073,43.531647,-79.897247
138074,43.531799,-79.896912
138075,43.531956,-79.896576
138076,43.532104,-79.89624
138077,43.532257,-79.895912
138078,43.53241,-79.895576
138079,43.532558,-79.895241
138080,43.532715,-79.894905
138081,43.532867,-79.894569
138082,43.533028,-79.894226
138083,43.533184,-79.893875
138084,43.533344,-79.893517
138085,43.533508,-79.893166
138086,43.533672,-79.892807
138087,43.533836,-79.892441
138088,43.534,-79.892082
138089,43.534168,-79.891724
138090,43.534332,-79.89135
138091,43.5345,-79.890991
138092,43.534664,-79.890633
138093,43.534832,-79.890266
138094,43.534996,-79.889915
138095,43.53516,-79.889542
138096,43.53532,-79.889191
138097,43.535484,-79.888824
138098,43.535645,-79.888474
138099,43.535805,-79.888115
138100,43.535961,-79.887749
138101,43.536106,-79.887375
138102,43.536247,-79.887016
138103,43.536385,-79.886642
138104,43.536514,-79.886269
138105,43.53664,-79.885887
138106,43.536758,-79.885513
138107,43.536873,-79.885124
138108,43.536976,-79.884743
138109,43.537079,-79.884361
138110,43.537174,-79.883965
138111,43.53727,-79.883575
138112,43.537354,-79.883194
138113,43.537434,-79.88279
138114,43.537506,-79.882401
138115,43.537571,-79.882004
138116,43.53764,-79.881607
138117,43.537693,-79.88121
138118,43.537743,-79.880806
138119,43.5378,-79.880409
138120,43.537849,-79.880005
138121,43.53791,-79.879616
138122,43.537968,-79.879219
138123,43.538025,-79.878815
138124,43.538078,-79.878426
138125,43.538132,-79.878021
138126,43.538189,-79.877617
138127,43.538235,-79.877205
138128,43.538288,-79.876816
138129,43.538338,-79.876419
138130,43.538391,-79.876015
138131,43.538441,-79.875618
138132,43.538486,-79.875221
138133,43.538536,-79.874817
138134,43.538589,-79.874413
138135,43.538643,-79.874023
138136,43.538704,-79.873642
138137,43.538761,-79.873245
138138,43.538822,-79.872864
138139,43.538879,-79.872467
138140,43.53894,-79.87207
138141,43.539001,-79.871674
138142,43.539051,-79.871269
138143,43.539112,-79.870865
138144,43.539173,-79.870445
138145,43.539249,-79.870049
138146,43.539314,-79.869637
138147,43.539406,-79.869232
138148,43.539501,-79.86882
138149,43.539608,-79.868416
138150,43.539719,-79.868011
138151,43.539848,-79.867599
138152,43.539967,-79.867203
138153,43.540104,-79.866806
138154,43.540237,-79.866417
138155,43.540371,-79.866035
138156,43.54052,-79.865646
138157,43.540672,-79.86528
138158,43.540825,-79.864906
138159,43.540985,-79.864548
138160,43.541153,-79.864174
138161,43.541321,-79.863815
138162,43.541496,-79.863457
138163,43.541679,-79.863113
138164,43.541847,-79.862755
138165,43.542042,-79.862396
138166,43.542236,-79.862076
138167,43.542435,-79.861748
138168,43.542641,-79.861404
138169,43.542847,-79.861092
138170,43.543064,-79.860779
138171,43.543285,-79.860474
138172,43.54351,-79.860168
138173,43.543743,-79.859863
138174,43.54398,-79.859566
138175,43.544224,-79.859268
138176,43.544468,-79.858978
138177,43.54472,-79.858696
138178,43.544971,-79.858414
138179,43.545227,-79.858147
138180,43.545479,-79.857864
138181,43.545723,-79.85759
138182,43.545967,-79.857323
138183,43.546215,-79.85704
138184,43.546463,-79.856766
138185,43.546703,-79.856499
138186,43.546947,-79.856232
138187,43.547195,-79.855965
138188,43.547436,-79.855698
138189,43.547676,-79.855431
138190,43.547916,-79.855164
138191,43.548149,-79.854897
138192,43.548389,-79.85463
138193,43.548622,-79.854362
138194,43.548855,-79.854095
138195,43.549088,-79.853828
138196,43.549328,-79.853577
138197,43.549561,-79.853317
138198,43.549797,-79.853058
138199,43.55003,-79.852798
138200,43.550251,-79.852539
138201,43.550484,-79.85228
138202,43.550713,-79.852036
138203,43.550934,-79.851791
138204,43.551155,-79.851547
138205,43.551369,-79.851303
138206,43.551582,-79.851067
138207,43.5518,-79.85083
138208,43.552013,-79.850594
138209,43.552231,-79.850349
138210,43.552444,-79.850113
138211,43.552662,-79.849869
138212,43.552876,-79.84964
138213,43.553089,-79.849403
138214,43.553303,-79.849159
138215,43.55352,-79.848915
138216,43.553738,-79.848663
138217,43.553959,-79.848419
138218,43.554173,-79.848175
138219,43.554401,-79.847931
138220,43.554623,-79.847679
138221,43.554848,-79.847435
